date_str,cota_m
1969-10-21,0.81
1969-10-22,0.8233333333333334
1969-10-23,0.8333333333333334
1969-10-24,0.85
1969-10-25,0.8999999999999999
1969-10-26,0.94
1969-10-27,0.9900000000000001
1969-10-28,0.9700000000000001
1969-10-29,0.9333333333333332
1969-10-30,0.89
1969-10-31,0.8933333333333334
1969-11-01,0.8866666666666667
1969-11-02,0.9
1969-11-03,0.9033333333333333
1969-11-04,0.9333333333333335
1969-11-05,0.9966666666666666
1969-11-06,1.0666666666666667
1969-11-07,1.09
1969-11-08,1.0599999999999998
1969-11-09,1.0433333333333332
1969-11-10,1.0033333333333334
1969-11-11,0.98
1969-11-12,0.9566666666666667
1969-11-13,0.9700000000000001
1969-11-14,0.9933333333333333
1969-11-15,1.05
1969-11-16,1.1433333333333333
1969-11-17,1.2833333333333334
1969-11-18,1.3033333333333335
1969-11-19,1.3433333333333335
1969-11-20,1.383333333333333
1969-11-21,1.4200000000000002
1969-11-22,1.4799999999999998
1969-11-23,1.5833333333333333
1969-11-24,1.67
1969-11-25,1.7233333333333334
1969-11-26,1.7133333333333332
1969-11-27,1.71
1969-11-28,1.7766666666666666
1969-11-29,1.79
1969-11-30,1.7766666666666666
1969-12-01,1.7533333333333332
1969-12-02,1.72
1969-12-03,1.6733333333333331
1969-12-04,1.6466666666666665
1969-12-05,1.62
1969-12-06,1.5999999999999999
1969-12-07,1.5833333333333333
1969-12-08,1.5399999999999998
1969-12-09,1.5033333333333332
1969-12-10,1.4533333333333334
1969-12-11,1.43
1969-12-12,1.45
1969-12-13,1.4566666666666668
1969-12-14,1.5533333333333335
1969-12-15,1.5833333333333333
1969-12-16,1.5966666666666667
1969-12-17,1.6133333333333333
1969-12-18,1.6199999999999999
1969-12-19,1.64
1969-12-20,1.6733333333333331
1969-12-21,1.6933333333333334
1969-12-22,1.7433333333333334
1969-12-23,1.7966666666666666
1969-12-24,1.8499999999999999
1969-12-25,1.9000000000000001
1969-12-26,1.9566666666666668
1969-12-27,1.9966666666666668
1969-12-28,1.9866666666666666
1969-12-29,1.9733333333333334
1969-12-30,1.9466666666666665
1969-12-31,1.9266666666666667
1970-01-01,1.89
1970-01-02,1.8766666666666667
1970-01-03,1.8633333333333333
1970-01-04,1.8633333333333333
1970-01-05,1.8333333333333333
1970-01-06,1.8
1970-01-07,1.7233333333333334
1970-01-08,1.6300000000000001
1970-01-09,1.6033333333333333
1970-01-10,1.6033333333333335
1970-01-11,1.5933333333333335
1970-01-12,1.6133333333333333
1970-01-13,1.6333333333333335
1970-01-14,1.6600000000000001
1970-01-15,1.7066666666666668
1970-01-16,1.75
1970-01-17,1.7699999999999998
1970-01-18,1.7833333333333332
1970-01-19,1.7766666666666666
1970-01-20,1.7699999999999998
1970-01-21,1.7666666666666666
1970-01-22,1.76
1970-01-23,1.7666666666666666
1970-01-24,1.7866666666666668
1970-01-25,1.8166666666666667
1970-01-26,1.8233333333333333
1970-01-27,1.8466666666666667
1970-01-28,1.8733333333333333
1970-01-29,1.8833333333333335
1970-01-30,1.92
1970-01-31,1.92
1970-02-01,1.9933333333333332
1970-02-02,2.0033333333333334
1970-02-03,2.026666666666667
1970-02-04,2.0566666666666666
1970-02-05,2.0833333333333335
1970-02-06,2.1
1970-02-07,2.123333333333333
1970-02-08,2.14
1970-02-09,2.1566666666666667
1970-02-10,2.183333333333333
1970-02-11,2.23
1970-02-12,2.2433333333333336
1970-02-13,2.28
1970-02-14,2.3033333333333332
1970-02-15,2.316666666666667
1970-02-16,2.3266666666666667
1970-02-17,2.3333333333333335
1970-02-18,2.3466666666666667
1970-02-19,2.3666666666666667
1970-02-20,2.39
1970-02-21,2.4233333333333333
1970-02-22,2.4033333333333338
1970-02-23,2.4566666666666666
1970-02-24,2.466666666666667
1970-02-25,2.47
1970-02-26,2.48
1970-02-27,2.483333333333333
1970-02-28,2.4833333333333334
1970-03-01,2.48
1970-03-02,2.48
1970-03-03,2.47
1970-03-04,2.473333333333333
1970-03-05,2.4933333333333336
1970-03-06,2.52
1970-03-07,2.533333333333333
1970-03-08,2.5466666666666664
1970-03-09,2.566666666666667
1970-03-10,2.5733333333333333
1970-03-11,2.5866666666666664
1970-03-12,2.6066666666666665
1970-03-13,2.6166666666666667
1970-03-14,2.6300000000000003
1970-03-15,2.643333333333333
1970-03-16,2.6466666666666665
1970-03-17,2.6733333333333333
1970-03-18,2.6799999999999997
1970-03-19,2.69
1970-03-20,2.703333333333333
1970-03-21,2.72
1970-03-22,2.73
1970-03-23,2.7399999999999998
1970-03-24,2.733333333333333
1970-03-25,2.7266666666666666
1970-03-26,2.73
1970-03-27,2.723333333333333
1970-03-28,2.716666666666667
1970-03-29,2.7099999999999995
1970-03-30,2.6966666666666668
1970-03-31,2.703333333333333
1970-04-01,2.6999999999999997
1970-04-02,2.6933333333333334
1970-04-03,2.7100000000000004
1970-04-04,2.7099999999999995
1970-04-05,2.736666666666667
1970-04-06,2.76
1970-04-07,2.77
1970-04-08,2.776666666666667
1970-04-09,2.763333333333333
1970-04-10,2.776666666666667
1970-04-11,2.723333333333333
1970-04-12,2.69
1970-04-13,2.6733333333333333
1970-04-14,2.67
1970-04-15,2.6666666666666665
1970-04-16,2.6566666666666667
1970-04-17,2.6466666666666665
1970-04-18,2.63
1970-04-19,2.6166666666666667
1970-04-20,2.58
1970-04-21,2.5500000000000003
1970-04-22,2.5333333333333337
1970-04-23,2.5166666666666666
1970-04-24,2.5066666666666664
1970-04-25,2.486666666666667
1970-04-26,2.486666666666667
1970-04-27,2.473333333333333
1970-04-28,2.46
1970-04-29,2.4633333333333334
1970-04-30,2.4533333333333336
1970-05-01,2.43
1970-05-02,2.4166666666666665
1970-05-03,2.393333333333333
1970-05-04,2.3766666666666665
1970-05-05,2.3633333333333333
1970-05-06,2.356666666666667
1970-05-07,2.35
1970-05-08,2.3433333333333333
1970-05-09,2.3666666666666667
1970-05-10,2.393333333333333
1970-05-11,2.4166666666666665
1970-05-12,2.48
1970-05-13,2.52
1970-05-14,2.5333333333333337
1970-05-15,2.56
1970-05-16,2.5733333333333337
1970-05-17,2.586666666666667
1970-05-18,2.5933333333333333
1970-05-19,2.6033333333333335
1970-05-20,2.5966666666666667
1970-05-21,2.5933333333333333
1970-05-22,2.5733333333333337
1970-05-23,2.54
1970-05-24,2.53
1970-05-25,2.4833333333333334
1970-05-26,2.4933333333333336
1970-05-27,2.473333333333333
1970-05-28,2.4566666666666666
1970-05-29,2.436666666666667
1970-05-30,2.4233333333333333
1970-05-31,2.4099999999999997
1970-06-01,2.4
1970-06-02,2.4
1970-06-03,2.3633333333333333
1970-06-04,2.3466666666666662
1970-06-05,2.34
1970-06-06,2.3233333333333333
1970-06-07,2.3233333333333333
1970-06-08,2.313333333333333
1970-06-09,2.31
1970-06-10,2.31
1970-06-11,2.3066666666666666
1970-06-12,2.3000000000000003
1970-06-13,2.2933333333333334
1970-06-14,2.2933333333333334
1970-06-15,2.29
1970-06-16,2.28
1970-06-17,2.27
1970-06-18,2.263333333333333
1970-06-19,2.25
1970-06-20,2.2466666666666666
1970-06-21,2.2399999999999998
1970-06-22,2.23
1970-06-23,2.223333333333333
1970-06-24,2.216666666666667
1970-06-25,2.2099999999999995
1970-06-26,2.2066666666666666
1970-06-27,2.2066666666666666
1970-06-28,2.2066666666666666
1970-06-29,2.203333333333333
1970-06-30,2.1999999999999997
1970-07-01,2.1966666666666668
1970-07-02,2.186666666666667
1970-07-03,2.18
1970-07-04,2.17
1970-07-05,2.1633333333333336
1970-07-06,2.15
1970-07-07,2.143333333333333
1970-07-08,2.17
1970-07-09,2.16
1970-07-10,2.1566666666666667
1970-07-11,2.1733333333333333
1970-07-12,2.1633333333333336
1970-07-13,2.1633333333333336
1970-07-14,2.1566666666666667
1970-07-15,2.1466666666666665
1970-07-16,2.1333333333333333
1970-07-17,2.1233333333333335
1970-07-18,2.1233333333333335
1970-07-19,2.106666666666667
1970-07-20,2.0933333333333333
1970-07-21,2.0833333333333335
1970-07-22,2.063333333333333
1970-07-23,2.0500000000000003
1970-07-24,2.026666666666667
1970-07-25,2.013333333333333
1970-07-26,2.0
1970-07-27,1.9833333333333332
1970-07-28,1.9633333333333336
1970-07-29,1.9533333333333331
1970-07-30,1.9333333333333333
1970-07-31,1.9200000000000002
1970-08-01,1.9100000000000001
1970-08-02,1.8866666666666667
1970-08-03,1.8633333333333333
1970-08-04,1.8533333333333335
1970-08-05,1.8233333333333333
1970-08-06,1.8133333333333332
1970-08-07,1.7866666666666668
1970-08-08,1.7666666666666666
1970-08-09,1.7400000000000002
1970-08-10,1.7100000000000002
1970-08-11,1.6900000000000002
1970-08-12,1.6833333333333336
1970-08-13,1.656666666666667
1970-08-14,1.6333333333333335
1970-08-15,1.6166666666666665
1970-08-16,1.5999999999999999
1970-08-17,1.58
1970-08-18,1.5566666666666666
1970-08-19,1.53
1970-08-20,1.5133333333333334
1970-08-21,1.4900000000000002
1970-08-22,1.4533333333333331
1970-08-23,1.4333333333333336
1970-08-24,1.4133333333333333
1970-08-25,1.3966666666666667
1970-08-26,1.3733333333333333
1970-08-27,1.36
1970-08-28,1.3433333333333335
1970-08-29,1.32
1970-08-30,1.2966666666666666
1970-08-31,1.2833333333333334
1970-09-01,1.2566666666666666
1970-09-02,1.24
1970-09-03,1.22
1970-09-04,1.1966666666666665
1970-09-05,1.1866666666666668
1970-09-06,1.1666666666666667
1970-09-07,1.1466666666666667
1970-09-08,1.1366666666666667
1970-09-09,1.1233333333333333
1970-09-10,1.1066666666666667
1970-09-11,1.0833333333333333
1970-09-12,1.0666666666666667
1970-09-13,1.0666666666666667
1970-09-14,1.0633333333333332
1970-09-15,1.02
1970-09-16,1.0066666666666666
1970-09-17,0.9966666666666667
1970-09-18,0.9766666666666667
1970-09-19,0.9566666666666667
1970-09-20,0.9566666666666667
1970-09-21,0.9500000000000001
1970-09-22,0.94
1970-09-23,0.93
1970-09-24,0.9133333333333332
1970-09-25,0.91
1970-09-26,0.8966666666666666
1970-09-27,0.8866666666666667
1970-09-28,0.8799999999999999
1970-09-29,0.8799999999999999
1970-09-30,0.8766666666666666
1970-10-01,0.8866666666666667
1970-10-02,0.88
1970-10-03,0.88
1970-10-04,0.8733333333333334
1970-10-05,0.8666666666666667
1970-10-06,0.8733333333333334
1970-10-07,0.8933333333333334
1970-10-08,0.9066666666666667
1970-10-09,0.9133333333333334
1970-10-10,0.8966666666666666
1970-10-11,0.8733333333333332
1970-10-12,0.8366666666666666
1970-10-13,0.8733333333333334
1970-10-14,0.9266666666666667
1970-10-15,0.9066666666666667
1970-10-16,0.9166666666666666
1970-10-17,0.9166666666666666
1970-10-18,0.91
1970-10-19,0.9066666666666667
1970-10-20,0.9033333333333333
1970-10-21,0.8933333333333334
1970-10-22,0.8866666666666667
1970-10-23,0.86
1970-10-24,0.84
1970-10-25,0.8366666666666666
1970-10-26,0.8433333333333333
1970-10-27,0.8633333333333333
1970-10-28,0.89
1970-10-29,0.9133333333333332
1970-10-30,0.94
1970-10-31,0.94
1970-11-01,0.9233333333333333
1970-11-02,0.9066666666666667
1970-11-03,0.8966666666666666
1970-11-04,0.87
1970-11-05,0.8633333333333333
1970-11-06,0.8533333333333334
1970-11-07,0.85
1970-11-08,0.84
1970-11-09,0.85
1970-11-10,0.8733333333333334
1970-11-11,0.8533333333333334
1970-11-12,0.8466666666666667
1970-11-13,0.82
1970-11-14,0.7933333333333333
1970-11-15,0.7733333333333333
1970-11-16,0.75
1970-11-17,0.7233333333333333
1970-11-18,0.7133333333333334
1970-11-19,0.71
1970-11-20,0.7166666666666667
1970-11-21,0.7200000000000001
1970-11-22,0.7333333333333334
1970-11-23,0.7400000000000001
1970-11-24,0.73
1970-11-25,0.7200000000000001
1970-11-26,0.7000000000000001
1970-11-27,0.69
1970-11-28,0.6866666666666666
1970-11-29,0.69
1970-11-30,0.7000000000000001
1970-12-01,0.7033333333333333
1970-12-02,0.7033333333333333
1970-12-03,0.7066666666666667
1970-12-04,0.73
1970-12-05,0.77
1970-12-06,0.7833333333333333
1970-12-07,0.7733333333333333
1970-12-08,0.7666666666666666
1970-12-09,0.7633333333333333
1970-12-10,0.7599999999999999
1970-12-11,0.7133333333333334
1970-12-12,0.7133333333333334
1970-12-13,0.7133333333333334
1970-12-14,0.7200000000000001
1970-12-15,0.7266666666666666
1970-12-16,0.73
1970-12-17,0.7333333333333334
1970-12-18,0.7399999999999999
1970-12-19,0.7399999999999999
1970-12-20,0.7466666666666667
1970-12-21,0.7633333333333333
1970-12-22,0.7933333333333333
1970-12-23,0.8266666666666667
1970-12-24,0.86
1970-12-25,0.89
1970-12-26,0.8999999999999999
1970-12-27,0.9166666666666666
1970-12-28,0.9366666666666666
1970-12-29,0.94
1970-12-30,0.9333333333333332
1970-12-31,0.9333333333333332
1971-01-01,0.9233333333333333
1971-01-02,0.92
1971-01-03,0.9733333333333335
1971-01-04,1.0366666666666666
1971-01-05,1.1233333333333333
1971-01-06,1.1633333333333333
1971-01-07,1.2233333333333334
1971-01-08,1.3
1971-01-09,1.45
1971-01-10,1.4833333333333334
1971-01-11,1.58
1971-01-12,1.6733333333333331
1971-01-13,1.7266666666666666
1971-01-14,1.7566666666666668
1971-01-15,1.7633333333333334
1971-01-16,1.71
1971-01-17,1.7
1971-01-18,1.7
1971-01-19,1.68
1971-01-20,1.6733333333333336
1971-01-21,1.6766666666666665
1971-01-22,1.6733333333333336
1971-01-23,1.6766666666666667
1971-01-24,1.6666666666666667
1971-01-25,1.6733333333333336
1971-01-26,1.6433333333333333
1971-01-27,1.6133333333333333
1971-01-28,1.6066666666666667
1971-01-29,1.58
1971-01-30,1.5499999999999998
1971-01-31,1.4966666666666668
1971-02-01,1.4933333333333332
1971-02-02,1.4800000000000002
1971-02-03,1.4633333333333336
1971-02-04,1.4466666666666665
1971-02-05,1.4533333333333334
1971-02-06,1.4366666666666668
1971-02-07,1.43
1971-02-08,1.4233333333333336
1971-02-09,1.4333333333333333
1971-02-10,1.43
1971-02-11,1.4766666666666666
1971-02-12,1.54
1971-02-13,1.5933333333333335
1971-02-14,1.63
1971-02-15,1.6733333333333331
1971-02-16,1.7033333333333331
1971-02-17,1.7133333333333332
1971-02-18,1.7133333333333332
1971-02-19,1.7
1971-02-20,1.71
1971-02-21,1.7033333333333334
1971-02-22,1.6900000000000002
1971-02-23,1.6900000000000002
1971-02-24,1.6966666666666665
1971-02-25,1.75
1971-02-26,1.8033333333333335
1971-02-27,1.8066666666666666
1971-02-28,1.8233333333333333
1971-03-01,1.83
1971-03-02,1.8466666666666667
1971-03-03,1.87
1971-03-04,1.9100000000000001
1971-03-05,1.9400000000000002
1971-03-06,1.96
1971-03-07,1.9933333333333334
1971-03-08,2.026666666666667
1971-03-09,2.0500000000000003
1971-03-10,2.08
1971-03-11,2.1633333333333336
1971-03-12,2.243333333333333
1971-03-13,2.276666666666667
1971-03-14,2.29
1971-03-15,2.3033333333333332
1971-03-16,2.2933333333333334
1971-03-17,2.283333333333333
1971-03-18,2.29
1971-03-19,2.29
1971-03-20,2.283333333333333
1971-03-21,2.2866666666666666
1971-03-22,2.28
1971-03-23,2.2866666666666666
1971-03-24,2.276666666666667
1971-03-25,2.27
1971-03-26,2.276666666666667
1971-03-27,2.2733333333333334
1971-03-28,2.28
1971-03-29,2.283333333333333
1971-03-30,2.28
1971-03-31,2.2533333333333334
1971-04-01,2.243333333333333
1971-04-02,2.23
1971-04-03,2.2066666666666666
1971-04-04,2.18
1971-04-05,2.16
1971-04-06,2.126666666666667
1971-04-07,2.1
1971-04-08,2.09
1971-04-09,2.0733333333333333
1971-04-10,2.0500000000000003
1971-04-11,2.07
